time,status,down rate,up rate,down SNR mrg,FEC,CRC
19/10 12:55:39,up,9557 kbps,812 kbps,11.2 dB,73,0
19/10 12:55:44,up,9557 kbps,812 kbps,11.3 dB,73,0
19/10 12:55:50,up,9557 kbps,812 kbps,11.3 dB,73,0
19/10 12:55:55,up,9557 kbps,812 kbps,11.4 dB,73,0
19/10 12:56:01,up,9557 kbps,812 kbps,11.3 dB,73,0
19/10 12:56:06,up,9557 kbps,812 kbps,10.9 dB,73,0
19/10 12:56:12,up,9557 kbps,812 kbps,9.3 dB,11999,64
19/10 12:56:18,up,9557 kbps,812 kbps,9.8 dB,12364,64
19/10 12:56:23,up,9557 kbps,812 kbps,9.8 dB,12606,64
19/10 12:56:29,up,9557 kbps,812 kbps,9.0 dB,13970,64
19/10 12:56:34,up,9557 kbps,812 kbps,6.2 dB,27115,282
19/10 12:56:40,up,9557 kbps,812 kbps,3.9 dB,35211,396
19/10 12:56:46,up,9557 kbps,812 kbps,9.0 dB,35257,396
19/10 12:56:51,up,9557 kbps,812 kbps,2.9 dB,37212,531
19/10 12:56:57,up,9557 kbps,812 kbps,8.7 dB,40773,556
19/10 12:57:02,down,,,,,
19/10 12:57:08,down,,,,,
19/10 12:57:14,down,,,,,
19/10 12:57:19,wait for init,,,,,
19/10 12:57:25,initializing,,,,,
19/10 12:57:30,down,,,,,
19/10 12:57:36,down,,,,,
19/10 12:57:41,down,,,,,
19/10 12:57:47,down,,,,,
19/10 12:57:52,wait for init,,,,,
19/10 12:57:58,initializing,,,,,
19/10 12:58:04,initializing,,,,,
19/10 12:58:09,initializing,,,,,
19/10 12:58:15,down,,,,,
19/10 12:58:20,down,,,,,
19/10 12:58:26,wait for init,,,,,
19/10 12:58:32,initializing,,,,,
19/10 12:58:37,initializing,,,,,
19/10 12:58:43,initializing,,,,,
19/10 12:58:48,up,9407 kbps,812 kbps,12.3 dB,0,0
19/10 12:58:54,up,9407 kbps,812 kbps,12.3 dB,0,0
19/10 12:58:59,up,9407 kbps,812 kbps,12.2 dB,0,0
19/10 12:59:05,up,9407 kbps,812 kbps,12.1 dB,0,0
19/10 12:59:11,up,9407 kbps,812 kbps,12.0 dB,0,0
19/10 12:59:16,up,9407 kbps,812 kbps,12.1 dB,0,0
19/10 12:59:22,up,9407 kbps,812 kbps,12.1 dB,0,0
19/10 12:59:27,up,9407 kbps,812 kbps,12.0 dB,0,0
19/10 12:59:33,up,9407 kbps,812 kbps,12.0 dB,0,0
19/10 12:59:38,up,9407 kbps,812 kbps,12.0 dB,0,0
19/10 12:59:44,up,9407 kbps,812 kbps,11.9 dB,0,0
19/10 12:59:50,up,9407 kbps,812 kbps,11.9 dB,37,0
19/10 12:59:55,up,9407 kbps,812 kbps,11.8 dB,37,0
19/10 13:00:01,up,9407 kbps,812 kbps,11.7 dB,37,0
19/10 13:00:06,up,9407 kbps,812 kbps,11.6 dB,37,0
19/10 13:00:12,up,9407 kbps,812 kbps,11.6 dB,37,0
19/10 13:00:18,up,9407 kbps,812 kbps,11.5 dB,37,0
19/10 13:00:23,up,9407 kbps,812 kbps,11.5 dB,37,0
19/10 13:00:29,up,9407 kbps,812 kbps,11.4 dB,37,0
19/10 13:00:35,up,9407 kbps,812 kbps,11.4 dB,37,0
19/10 13:00:40,up,9407 kbps,812 kbps,11.3 dB,37,0
19/10 13:00:46,up,9407 kbps,812 kbps,11.4 dB,37,0
19/10 13:00:51,up,9407 kbps,812 kbps,11.4 dB,37,0
19/10 13:00:57,up,9407 kbps,812 kbps,11.4 dB,37,0
19/10 13:01:02,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:01:08,up,9407 kbps,812 kbps,11.4 dB,37,0
19/10 13:01:14,up,9407 kbps,812 kbps,11.3 dB,37,0
19/10 13:01:19,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:01:25,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:01:30,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:01:36,up,9407 kbps,812 kbps,11.1 dB,37,0
19/10 13:01:41,up,9407 kbps,812 kbps,11.3 dB,37,0
19/10 13:01:47,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:01:53,up,9407 kbps,812 kbps,11.1 dB,37,0
19/10 13:01:58,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:02:04,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:02:09,up,9407 kbps,812 kbps,11.3 dB,37,0
19/10 13:02:15,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:02:21,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:02:26,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:02:32,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:02:37,up,9407 kbps,812 kbps,11.1 dB,37,0
19/10 13:02:43,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:02:48,up,9407 kbps,812 kbps,11.1 dB,37,0
19/10 13:02:54,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:03:00,up,9407 kbps,812 kbps,11.3 dB,37,0
19/10 13:03:05,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:03:11,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:03:16,up,9407 kbps,812 kbps,11.3 dB,37,0
19/10 13:03:22,up,9407 kbps,812 kbps,11.3 dB,37,0
19/10 13:03:28,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:03:33,up,9407 kbps,812 kbps,11.3 dB,37,0
19/10 13:03:39,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:03:44,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:03:50,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:03:55,up,9407 kbps,812 kbps,11.2 dB,37,0
19/10 13:04:01,up,9407 kbps,812 kbps,11.1 dB,37,0
19/10 13:04:07,up,9407 kbps,812 kbps,11.2 dB,76,0
19/10 13:04:12,up,9407 kbps,812 kbps,11.1 dB,76,0
19/10 13:04:18,up,9407 kbps,812 kbps,10.8 dB,76,0
19/10 13:04:23,up,9407 kbps,812 kbps,11.2 dB,76,0
19/10 13:04:29,up,9407 kbps,812 kbps,11.0 dB,76,0
19/10 13:04:34,up,9407 kbps,812 kbps,11.1 dB,76,0
19/10 13:04:41,up,9407 kbps,812 kbps,11.1 dB,76,0
19/10 13:04:46,up,9407 kbps,812 kbps,11.2 dB,76,0
